pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,st_lum,glat,glon
Kepler-1792 b,Kepler-1792,1,1,0,Transit,2021,Kepler,0.048800,2.520,6.89000,1.01,0.88,-0.508,8.28475,72.81980
Kepler-1793 b,Kepler-1793,1,1,0,Transit,2021,Kepler,0.078700,3.790,13.80000,0.76,0.85,-0.234,11.13423,73.45576
Kepler-1794 b,Kepler-1794,1,1,0,Transit,2021,Kepler,0.082100,1.794,3.87000,0.82,0.77,-0.611,7.90528,80.83058
Kepler-1795 b,Kepler-1795,1,1,0,Transit,2021,Kepler,0.100200,1.663,3.40000,0.69,0.77,-0.757,14.18925,70.09283
Kepler-1796 b,Kepler-1796,1,1,0,Transit,2021,Kepler,0.187900,2.750,8.00000,0.95,1.02,0.118,6.73189,80.15696
Kepler-1797 b,Kepler-1797,1,1,0,Transit,2021,Kepler,0.163700,3.058,9.58000,1.01,1.07,0.062,12.98050,78.24080
Kepler-1798 b,Kepler-1798,1,1,0,Transit,2021,Kepler,0.108200,2.309,5.94000,0.59,0.59,-0.957,9.72841,70.27663
Kepler-1799 b,Kepler-1799,1,1,0,Transit,2021,Kepler,0.102800,4.128,15.90000,0.92,1.02,0.314,17.70472,82.32839
Kepler-18 b,Kepler-18,1,3,0,Transit,2011,Kepler,0.044700,2.000,6.90000,1.11,0.97,-0.031,8.92007,79.00740
Kepler-18 c,Kepler-18,1,3,0,Transit,2011,Kepler,0.075200,5.490,17.30000,1.11,0.97,-0.031,8.92007,79.00740
Kepler-18 d,Kepler-18,1,3,0,Transit,2011,Kepler,0.117200,6.980,16.40000,1.11,0.97,-0.031,8.92007,79.00740
Kepler-180 b,Kepler-180,1,2,0,Transit,2014,Kepler,0.109000,1.500,2.86000,1.06,0.95,-0.132,12.80745,82.68811
Kepler-180 c,Kepler-180,1,2,0,Transit,2014,Kepler,0.229000,3.010,9.32000,1.06,0.95,-0.132,12.80745,82.68811
Kepler-1800 b,Kepler-1800,1,1,0,Transit,2021,Kepler,0.059200,0.997,0.96100,2.51,1.33,-0.188,7.01237,74.99789
