pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,st_lum,glat,glon
11 Com b,11 Com,2,1,0,Radial Velocity,2007,Xinglong Station,1.178000,12.200,4914.89849,13.76,2.09,1.978,78.28058,264.13775
11 UMi b,11 UMi,1,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,1.530000,12.300,4684.81420,29.79,2.78,2.430,41.04437,108.71900
14 And b,14 And,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,0.775000,13.100,1131.15130,11.55,1.78,1.840,-21.05141,106.41269
14 Her b,14 Her,1,2,0,Radial Velocity,2002,W. M. Keck Observatory,2.774000,12.600,2559.47216,0.93,0.91,-0.153,46.94447,69.16849
16 Cyg B b,16 Cyg B,3,1,0,Radial Velocity,1996,Multiple Observatories,1.660000,13.500,565.73740,1.13,1.08,0.097,13.20446,83.33558
17 Sco b,17 Sco,1,1,0,Radial Velocity,2020,Lick Observatory,1.450000,12.900,1373.01872,25.92,1.22,2.254,27.34301,1.30262
18 Del b,18 Del,2,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,2.476000,12.500,2926.24614,8.80,2.10,1.634,-21.97480,58.69121
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,Imaging,2008,Gemini Observatory,330.000000,18.647,3000.00000,1.31,0.85,-0.370,22.03031,352.89050
24 Boo b,24 Boo,1,1,0,Radial Velocity,2018,Okayama Astrophysical Observatory,0.194000,13.900,280.64248,12.19,1.05,1.877,60.64470,90.16373
24 Sex b,24 Sex,1,2,0,Radial Velocity,2010,Lick Observatory,1.333000,13.400,632.46000,4.90,1.54,1.164,44.71580,245.08569
24 Sex c,24 Sex,1,2,0,Radial Velocity,2010,Lick Observatory,2.080000,13.900,273.32000,4.90,1.54,1.164,44.71580,245.08569
2M0437 b,2MASS J04372171+2651014,1,1,0,Imaging,2021,Subaru Telescope,118.000000,13.000,1271.31363,0.84,0.17,-1.164,-13.44593,172.81975
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,Imaging,2013,Paranal Observatory,84.000000,12.300,4131.79000,,0.19,,-61.77586,299.26888
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,Imaging,2013,W. M. Keck Observatory,52.000000,11.209,7786.50000,0.37,0.40,-1.720,-82.51990,195.45385
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,Imaging,2015,Cerro Tololo Inter-American Observatory,156.000000,16.141,4417.83700,0.28,0.11,-2.230,-67.98402,252.45343
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,Imaging,2010,Hubble Space Telescope,15.000000,12.600,2383.60000,0.23,0.02,-2.444,-15.11435,176.51065
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,Imaging,2004,Paranal Observatory,55.000000,12.900,1589.15000,0.22,0.02,-2.561,22.54309,293.79011
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,Eclipse Timing Variations,2015,Kepler,0.920000,13.400,603.87700,0.20,0.48,1.450,11.67426,79.01876
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,Imaging,2016,W. M. Keck Observatory,230.000000,12.300,3972.87500,0.64,0.60,-1.021,-9.10923,100.74846
30 Ari B b,30 Ari B,4,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0.990000,12.300,4392.41060,1.41,1.93,0.381,-32.30930,151.47681
4 UMa b,4 UMa,1,1,0,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,0.877000,12.600,2511.48007,18.11,1.23,2.062,35.95654,151.35882
42 Dra b,42 Dra,2,1,0,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,1.190000,13.000,1233.13000,22.03,0.98,2.155,27.12504,95.41912
47 UMa b,47 UMa,1,3,0,Radial Velocity,1996,Lick Observatory,2.100000,13.200,804.08000,1.21,1.06,0.198,63.36770,175.78305
47 UMa c,47 UMa,1,3,0,Radial Velocity,2001,Lick Observatory,3.600000,14.200,171.62100,1.21,1.06,0.198,63.36770,175.78305
47 UMa d,47 UMa,1,3,0,Radial Velocity,2009,Lick Observatory,11.600000,13.500,521.22000,1.21,1.06,0.198,63.36770,175.78305
51 Eri b,51 Eri,3,1,0,Imaging,2015,Gemini Observatory,13.200000,13.400,635.66000,1.49,1.75,0.850,-30.65764,198.61297
51 Peg b,51 Peg,1,1,0,Radial Velocity,1995,Haute-Provence Observatory,0.052700,14.300,146.20180,1.18,1.03,0.136,-34.72750,90.06374
55 Cnc b,55 Cnc,2,5,0,Radial Velocity,1996,Lick Observatory,0.113400,13.900,263.97850,0.94,0.91,-0.197,37.69663,196.79526
55 Cnc c,55 Cnc,2,5,0,Radial Velocity,2004,McDonald Observatory,0.237300,8.510,54.47380,0.94,0.91,-0.197,37.69663,196.79526
55 Cnc d,55 Cnc,2,5,0,Radial Velocity,2002,Lick Observatory,5.957000,13.000,1232.49300,0.94,0.91,-0.197,37.69663,196.79526
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,2004,McDonald Observatory,0.015440,1.875,7.99000,0.94,0.91,-0.197,37.69663,196.79526
55 Cnc f,55 Cnc,2,5,0,Radial Velocity,2007,Multiple Observatories,0.770800,7.590,44.81200,0.94,0.91,-0.197,37.69663,196.79526
6 Lyn b,6 Lyn,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,2.028000,13.400,597.83523,4.94,1.32,1.119,20.18918,156.97286
61 Vir b,61 Vir,1,3,0,Radial Velocity,2009,Multiple Observatories,0.050201,2.110,5.10000,0.96,0.94,-0.095,44.08875,311.85177
61 Vir c,61 Vir,1,3,0,Radial Velocity,2009,Multiple Observatories,0.217500,4.460,18.20000,0.96,0.94,-0.095,44.08875,311.85177
61 Vir d,61 Vir,1,3,0,Radial Velocity,2009,Multiple Observatories,0.476000,5.110,22.90000,0.96,0.94,-0.095,44.08875,311.85177
7 CMa b,7 CMa,1,2,0,Radial Velocity,2011,Anglo-Australian Telescope,1.758000,13.400,587.98550,4.87,1.34,1.063,-11.79597,228.68876
7 CMa c,7 CMa,1,2,0,Radial Velocity,2019,Multiple Observatories,2.153000,13.900,276.51210,4.87,1.34,1.063,-11.79597,228.68876
70 Vir b,70 Vir,1,1,0,Radial Velocity,1996,Lick Observatory,0.481000,12.600,2380.45000,1.89,1.09,0.451,74.09910,337.65749
75 Cet b,75 Cet,2,2,0,Radial Velocity,2012,Okayama Astrophysical Observatory,1.912000,13.300,787.89662,10.38,1.92,1.714,-54.44177,169.94418
75 Cet c,75 Cet,2,2,0,Radial Velocity,2023,Okayama Astrophysical Observatory,3.929000,13.900,289.85951,10.38,1.92,1.714,-54.44177,169.94418
8 UMi b,8 UMi,1,1,0,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,0.490000,13.600,416.35730,10.30,1.44,1.725,39.66099,112.79492
81 Cet b,81 Cet,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,2.104000,13.100,1051.05854,11.21,1.23,1.760,-55.24995,174.48697
91 Aqr b,91 Aqr,3,1,0,Radial Velocity,2013,Lick Observatory,0.700000,13.100,1017.00000,11.00,1.40,1.692,-61.11327,67.07416
AB Aur b,AB Aur,1,1,0,Imaging,2022,Subaru Telescope,93.900000,12.500,2860.45566,2.96,2.40,1.771,-7.98082,172.49916
AB Pic b,AB Pic,1,1,0,Imaging,2005,Paranal Observatory,260.000000,12.300,4290.50000,1.00,0.90,-0.226,-26.93081,266.94347
AF Lep b,AF Lep,1,1,0,Imaging,2023,Paranal Observatory,8.400000,13.100,1017.05090,1.25,1.20,0.290,-24.04116,214.37435
AU Mic b,AU Mic,1,2,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.064500,4.070,20.12000,0.70,0.50,-1.046,-36.80401,12.65304
AU Mic c,AU Mic,1,2,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.110100,3.240,9.60000,0.75,0.50,-1.046,-36.80401,12.65304
BD+03 2562 b,BD+03 2562,1,1,0,Radial Velocity,2017,Multiple Observatories,1.300000,12.700,2034.11200,32.35,1.14,2.700,61.57342,269.32522
BD+14 4559 b,BD+14 4559,1,1,0,Radial Velocity,2009,McDonald Observatory,0.780000,13.800,330.54320,0.86,0.49,-0.320,-22.63172,64.41837
BD+15 2375 b,BD+15 2375,1,1,0,Radial Velocity,2016,Roque de los Muchachos Observatory,0.576000,13.800,337.21763,8.95,1.08,1.570,70.27244,249.00212
BD+15 2940 b,BD+15 2940,1,1,0,Radial Velocity,2013,McDonald Observatory,0.539000,13.700,352.78000,14.70,1.10,2.010,44.78011,28.10432
BD+20 2457 b,BD+20 2457,1,2,0,Radial Velocity,2009,McDonald Observatory,1.450000,12.100,6807.63000,49.00,2.80,3.170,53.95226,216.04472
BD+20 2457 c,BD+20 2457,1,2,0,Radial Velocity,2009,McDonald Observatory,2.010000,12.400,3963.17000,49.00,2.80,3.170,53.95226,216.04472
BD+20 274 b,BD+20 274,1,1,0,Radial Velocity,2012,McDonald Observatory,1.300000,13.000,1334.88600,17.30,0.80,1.960,-40.23345,138.97420
BD+20 594 b,BD+20 594,1,1,0,Transit,2016,K2,0.241000,2.578,22.24810,1.08,1.67,-0.056,-28.05348,166.79660
BD+45 564 b,BD+45 564,1,1,0,Radial Velocity,2021,Haute-Provence Observatory,0.830000,13.600,432.24663,0.81,0.81,-0.399,-14.70463,137.23205
BD+48 738 b,BD+48 738,1,1,0,Radial Velocity,2011,McDonald Observatory,1.000000,13.900,289.22530,11.00,0.74,1.690,-9.37870,140.80848
BD+48 740 b,BD+48 740,1,1,0,Radial Velocity,2018,Multiple Observatories,1.700000,13.500,540.31100,10.33,1.09,1.640,-9.96534,141.10904
BD+49 828 b,BD+49 828,1,1,0,Radial Velocity,2015,McDonald Observatory,4.200000,13.500,508.50000,7.60,1.52,1.470,-7.80173,143.61792
BD+55 362 b,BD+55 362,1,1,0,Radial Velocity,2021,Haute-Provence Observatory,0.780000,14.000,228.83645,0.90,0.91,-0.313,-5.64657,129.03163
BD+60 1417 b,BD+60 1417,1,1,0,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,1662.000000,14.684,4767.42610,0.80,1.00,0.356,57.08610,124.74559
BD+63 1405 b,BD+63 1405,1,1,0,Radial Velocity,2021,Haute-Provence Observatory,2.060000,12.400,3305.41543,0.80,0.82,-0.413,29.15130,93.08126
BD-00 4475 b,BD-00 4475,1,1,0,Radial Velocity,2021,Haute-Provence Observatory,1.480000,12.000,7961.60160,0.84,0.81,-0.350,-53.35536,77.53408
BD-06 1339 b,BD-06 1339,1,2,0,Radial Velocity,2013,La Silla Observatory,0.042800,2.850,8.50000,0.69,0.70,-1.022,-15.71602,211.65797
BD-06 1339 c,BD-06 1339,1,2,0,Radial Velocity,2013,La Silla Observatory,0.435000,8.380,53.00000,0.69,0.70,-1.022,-15.71602,211.65797
BD-08 2823 b,BD-08 2823,1,2,0,Radial Velocity,2009,La Silla Observatory,0.060000,3.610,12.71320,0.71,0.50,-0.626,34.75486,248.49513
BD-08 2823 c,BD-08 2823,1,2,0,Radial Velocity,2009,La Silla Observatory,0.680000,12.500,104.00000,0.72,0.74,-0.626,34.75486,248.49513
BD-10 3166 b,BD-10 3166,1,1,0,Radial Velocity,2000,W. M. Keck Observatory,0.040000,14.100,187.51970,0.91,1.47,-0.191,43.23793,263.28467
BD-11 4672 b,BD-11 4672,1,2,0,Radial Velocity,2014,La Silla Observatory,2.360000,14.100,206.58950,0.64,0.65,-0.804,-1.35959,20.54287
BD-11 4672 c,BD-11 4672,1,2,0,Radial Velocity,2020,Roque de los Muchachos Observatory,0.300000,4.040,15.37000,0.64,0.65,-0.804,-1.35959,20.54287
BD-13 2130 b,BD-13 2130,1,1,0,Radial Velocity,2007,La Silla Observatory,1.660000,12.500,3108.37740,19.17,2.12,2.043,3.53127,230.52055
BD-17 63 b,BD-17 63,1,1,0,Radial Velocity,2008,La Silla Observatory,1.340000,12.800,1620.90000,0.69,0.74,-0.678,-77.87825,95.83026
BD-210397 b,BD-210397,1,2,0,Radial Velocity,2023,La Silla Observatory,2.630000,14.000,214.00000,0.75,0.68,-0.870,-70.45622,199.69949
BD-210397 c,BD-210397,1,2,0,Radial Velocity,2023,La Silla Observatory,5.900000,12.900,1525.57635,0.75,0.69,-0.870,-70.45622,199.69949
CD Cet b,CD Cet,1,1,0,Radial Velocity,2020,Calar Alto Observatory,0.018500,1.820,3.95000,0.17,0.16,-2.533,-43.16780,175.42689
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,0,Imaging,2011,W. M. Keck Observatory,2.600000,12.400,3337.10000,,0.02,,55.65506,9.59427
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,0,Imaging,2021,Hubble Space Telescope,200.000000,20.849,2479.06157,0.24,0.01,-2.850,16.96444,353.60499
CHXR 73 b,CHXR 73,1,1,0,Imaging,2006,Hubble Space Telescope,210.000000,12.300,3994.48600,,0.35,,-15.92181,297.27760
CI Tau b,CI Tau,1,1,0,Radial Velocity,2019,Multiple Observatories,,12.400,3686.82800,1.88,0.90,-0.108,-16.63607,175.46435
COCONUTS-2 b,COCONUTS-2 A,1,1,0,Imaging,2021,NASA Infrared Telescope Facility (IRTF),7506.000000,12.442,2002.31896,0.39,0.37,-1.732,-23.12313,288.91588
CT Cha b,CT Cha,1,1,0,Imaging,2007,Paranal Observatory,440.000000,24.660,5403.00000,1.68,,-0.102,-14.90929,296.65359
CoRoT-1 b,CoRoT-1,1,1,0,Transit,2008,CoRoT,0.027520,16.700,327.35000,1.11,0.95,0.298,-2.10712,215.33882
CoRoT-10 b,CoRoT-10,1,1,0,Transit,2010,CoRoT,0.105500,10.870,874.00000,0.79,0.89,-0.726,-6.95299,37.36069
CoRoT-11 b,CoRoT-11,1,1,0,Transit,2010,CoRoT,0.043600,16.030,740.51000,1.37,1.27,0.378,4.63005,37.24009
CoRoT-12 b,CoRoT-12,1,1,0,Transit,2010,CoRoT,0.040160,16.140,291.43800,1.12,1.08,0.070,-2.45441,213.13155
CoRoT-13 b,CoRoT-13,1,1,0,Transit,2010,CoRoT,0.051000,9.920,415.70400,1.01,1.09,0.073,-2.43966,217.39860
CoRoT-14 b,CoRoT-14,1,1,0,Transit,2010,CoRoT,0.027000,12.220,2415.40000,1.21,1.13,0.119,-2.02059,218.11787
CoRoT-16 b,CoRoT-16,1,1,0,Transit,2011,CoRoT,0.061800,13.110,170.03200,1.19,1.10,-0.435,1.10110,25.61433
CoRoT-17 b,CoRoT-17,1,1,0,Transit,2011,CoRoT,0.046100,11.430,772.29000,1.59,1.04,0.134,0.66631,25.15299
CoRoT-18 b,CoRoT-18,1,1,0,Transit,2011,CoRoT,0.029500,14.680,1102.82000,1.00,0.95,-0.170,-4.18491,210.81910
CoRoT-19 b,CoRoT-19,1,1,0,Transit,2011,CoRoT,0.051800,14.460,352.78000,1.65,1.21,0.544,-5.26125,210.42057
CoRoT-2 b,CoRoT-2,2,1,0,Transit,2008,CoRoT,0.027980,16.432,1102.82000,0.91,0.96,-0.131,-7.29102,38.26267
CoRoT-20 b,CoRoT-20,1,2,0,Transit,2011,CoRoT,0.090000,9.416,1366.66900,1.02,1.14,0.170,-4.46860,210.38123
CoRoT-20 c,CoRoT-20,1,2,0,Radial Velocity,2018,Multiple Observatories,2.900000,12.200,5403.11000,1.37,1.14,0.006,-4.46860,210.38123
CoRoT-21 b,CoRoT-21,1,1,0,Transit,2012,CoRoT,0.041700,14.572,718.29580,1.95,1.29,0.705,-1.74447,212.37415
CoRoT-22 b,CoRoT-22,1,1,0,Transit,2014,CoRoT,0.092000,4.880,12.20000,1.14,1.10,0.014,4.77500,37.48307
CoRoT-23 b,CoRoT-23,1,1,0,Transit,2011,CoRoT,0.048000,11.770,889.90000,1.61,1.14,0.087,4.71959,35.41749
CoRoT-24 b,CoRoT-24,1,2,0,Transit,2014,CoRoT,0.056000,3.700,5.70000,0.86,0.91,-0.601,-2.52763,215.81744
CoRoT-24 c,CoRoT-24,1,2,0,Transit,2014,CoRoT,0.098000,5.000,28.00000,0.86,0.91,-0.601,-2.52763,215.81744
CoRoT-25 b,CoRoT-25,1,1,0,Transit,2013,CoRoT,0.057800,12.110,85.81000,1.19,1.09,0.141,4.94113,37.73014
CoRoT-26 b,CoRoT-26,1,1,0,Transit,2013,CoRoT,0.052600,14.120,165.26000,1.79,1.09,0.451,5.92600,37.74453
CoRoT-27 b,CoRoT-27,1,1,0,Transit,2014,CoRoT,0.047600,11.287,3302.11000,1.08,1.05,-0.166,6.39649,35.89455
CoRoT-28 b,CoRoT-28,1,1,0,Transit,2015,CoRoT,0.060300,10.705,153.82972,1.78,1.01,0.388,6.24131,36.01305
CoRoT-29 b,CoRoT-29,1,1,0,Transit,2015,CoRoT,0.038600,10.088,270.15550,0.90,0.97,-0.094,6.45872,36.92336
CoRoT-3 b,CoRoT-3,1,1,0,Transit,2008,CoRoT,0.057830,11.320,6883.91000,1.56,1.37,0.391,-8.12065,37.26302
CoRoT-30 b,CoRoT-30,1,1,0,Transit,2020,CoRoT,0.084400,11.310,921.70700,0.91,0.98,-0.197,7.77355,36.66096
CoRoT-31 b,CoRoT-31,1,1,0,Transit,2020,CoRoT,0.058600,16.365,266.97720,2.15,1.25,0.398,-9.16321,213.22491
CoRoT-35 b,CoRoT-35,1,1,0,Transit,2022,CoRoT,0.042900,18.831,349.61125,1.65,1.01,0.362,-7.00809,33.40059
CoRoT-36 b,CoRoT-36,1,1,0,Transit,2022,CoRoT,0.066000,15.805,216.12332,1.52,1.32,0.813,7.79576,37.04172
CoRoT-4 b,CoRoT-4,1,1,0,Transit,2008,CoRoT,0.090000,13.340,228.83000,1.17,1.16,0.185,-0.89847,213.22759
CoRoT-5 b,CoRoT-5,1,1,0,Transit,2009,CoRoT,0.049470,15.558,148.42000,1.19,1.00,0.180,-1.03620,211.48472
CoRoT-6 b,CoRoT-6,1,1,0,Transit,2009,CoRoT,0.085500,13.068,940.74000,1.03,1.05,0.026,4.61580,38.06304
CoRoT-7 b,CoRoT-7,1,3,0,Transit,2009,CoRoT,0.017016,1.681,4.07661,0.83,0.82,-0.289,-2.17853,213.01042
CoRoT-7 c,CoRoT-7,1,3,0,Radial Velocity,2009,CoRoT,0.046000,2.830,8.40000,0.86,0.90,-0.289,-2.17853,213.01042
CoRoT-7 d,CoRoT-7,1,3,0,Radial Velocity,2022,La Silla Observatory,,4.310,17.14200,0.84,0.92,-0.292,-2.17853,213.01042
CoRoT-8 b,CoRoT-8,1,1,0,Transit,2010,CoRoT,0.063000,6.390,69.92000,0.77,0.88,-0.400,-7.10426,38.21286
CoRoT-9 b,CoRoT-9,2,1,0,Transit,2009,CoRoT,0.402100,11.949,266.97720,0.96,0.96,-0.254,4.66217,37.52335
CoRoTID 223977153 b,CoRoTID 223977153,1,1,0,Transit,2017,CoRoT,0.071000,6.389,47.67450,0.79,1.08,-0.155,1.86373,203.48237
DE CVn b,DE CVn,2,1,0,Eclipse Timing Variations,2018,Multiple Facilities,5.750000,12.400,3823.27330,0.42,0.51,-1.574,70.27803,104.28761
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,0,Astrometry,2013,Paranal Observatory,0.360000,11.900,9057.77000,,0.07,,-6.82669,265.61638
DH Tau b,DH Tau,1,1,0,Imaging,2004,Subaru Telescope,330.000000,30.264,3496.00000,0.27,0.33,-0.212,-14.93888,171.89958
DMPP-1 b,DMPP-1,1,4,0,Radial Velocity,2019,La Silla Observatory,0.146200,5.290,24.27000,1.26,1.21,0.320,-19.05301,215.35863
DMPP-1 c,DMPP-1,1,4,0,Radial Velocity,2019,La Silla Observatory,0.073300,3.060,9.60000,1.26,1.21,0.320,-19.05301,215.35863
DMPP-1 d,DMPP-1,1,4,0,Radial Velocity,2019,La Silla Observatory,0.042200,1.650,3.35000,1.26,1.21,0.320,-19.05301,215.35863
DMPP-1 e,DMPP-1,1,4,0,Radial Velocity,2019,La Silla Observatory,0.065100,1.860,4.13000,1.26,1.21,0.320,-19.05301,215.35863
DMPP-2 b,DMPP-2,1,1,0,Radial Velocity,2019,Multiple Facilities,0.066400,14.300,138.89171,1.78,1.44,0.104,-75.53420,246.92255
DMPP-3 A b,DMPP-3 A,2,1,0,Radial Velocity,2019,La Silla Observatory,0.066200,1.410,2.58000,0.91,0.87,-0.293,-29.14463,283.20965
DMPP-4 b,DMPP-4,1,1,0,Radial Velocity,2023,Multiple Observatories,0.048530,3.530,12.20000,1.38,1.25,0.459,14.58774,83.46183
DP Leo b,DP Leo,2,1,0,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,8.190000,12.700,1995.88832,0.01,0.69,-2.400,66.45634,230.89636
DS Tuc A b,DS Tuc A,2,1,0,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),,5.700,413.17900,0.96,1.01,-0.140,-46.63356,312.10146
EPIC 201170410.02,EPIC 201170410,1,1,0,Transit,2020,K2,0.034900,1.047,1.15000,0.28,0.29,-1.900,51.24569,264.99528
EPIC 201238110 b,EPIC 201238110,1,1,0,Transit,2019,K2,,1.870,4.16000,0.37,0.41,-1.508,56.94662,278.31843
EPIC 201427007 b,EPIC 201427007,1,1,0,Transit,2021,K2,,1.500,2.86000,0.94,0.93,-0.049,61.20318,285.58634
EPIC 201497682 b,EPIC 201497682,1,1,0,Transit,2019,K2,,0.692,0.26000,0.55,0.78,-0.766,54.82399,258.19387
EPIC 201595106 b,EPIC 201595106,1,1,0,Transit,2021,K2,,1.300,2.24000,0.93,1.02,-0.026,63.35883,282.19917
EPIC 201615463 c,K2-166,1,2,0,Transit,2019,K2,,1.220,1.98000,1.60,1.07,0.458,64.09010,285.15815
EPIC 201754305 d,K2-16,1,3,0,Transit,2019,K2,,1.030,1.08000,0.54,0.67,-0.761,61.77713,262.91176
EPIC 201757695.02,EPIC 201757695,1,1,0,Transit,2020,K2,0.029600,0.908,0.68800,0.66,0.73,-0.364,61.14782,260.88050
EPIC 201833600 c,K2-50,1,2,0,Transit,2019,K2,,1.000,0.97200,0.63,0.61,-0.874,59.32248,252.27127
EPIC 201841433 b,EPIC 201841433,1,1,0,Transit,2019,K2,0.035000,1.040,1.12000,0.63,0.80,-0.635,63.11979,261.10589
EPIC 205950854 c,K2-168,1,2,0,Transit,2019,K2,,1.310,2.27000,0.83,0.88,-0.176,-51.71337,40.91076
EPIC 206024342 b,EPIC 206024342,1,3,0,Transit,2019,K2,,1.700,3.53000,0.82,0.93,-0.170,-49.18710,42.94366
EPIC 206024342 c,EPIC 206024342,1,3,0,Transit,2021,K2,,1.400,2.54000,1.10,0.93,-0.170,-49.18710,42.94366
EPIC 206024342 d,EPIC 206024342,1,3,0,Transit,2021,K2,,2.600,7.27000,1.10,0.93,-0.170,-49.18710,42.94366
EPIC 206032309 b,EPIC 206032309,1,1,0,Transit,2019,K2,,1.010,1.01000,0.37,0.22,-1.730,-57.69594,50.70238
EPIC 206042996 b,EPIC 206042996,1,2,0,Transit,2019,K2,,1.700,3.53000,0.50,0.57,-0.980,-54.37586,48.06541
EPIC 206042996 c,EPIC 206042996,1,2,0,Transit,2021,K2,,1.200,1.87000,0.50,0.57,-0.980,-54.37586,48.06541
EPIC 206215704 b,EPIC 206215704,1,1,0,Transit,2019,K2,,1.000,0.97200,0.25,0.41,-2.088,-50.28505,51.97463
EPIC 206317286 b,EPIC 206317286,1,2,0,Transit,2019,K2,,0.960,0.84000,0.67,0.71,-0.593,-51.54478,56.17023
EPIC 206317286 c,EPIC 206317286,1,2,0,Transit,2022,K2,,2.094,5.03000,0.76,0.83,-0.593,-51.54478,56.17023
EPIC 211822797 b,EPIC 211822797,1,1,0,Transit,2016,K2,0.119500,1.920,4.35000,0.58,0.62,-1.153,32.03739,208.28299
EPIC 211945201 b,EPIC 211945201,1,1,0,Transit,2018,K2,0.149300,5.760,27.00000,1.39,1.17,0.373,38.12775,208.78206
EPIC 212297394 b,EPIC 212297394,1,2,0,Transit,2019,K2,,1.480,2.79000,0.80,0.83,-0.505,43.14733,321.81920
EPIC 212297394 c,EPIC 212297394,1,2,0,Transit,2016,K2,,2.270,5.77000,0.80,0.83,-0.467,43.14733,321.81920
EPIC 212424622 b,EPIC 212424622,1,1,0,Transit,2019,K2,,2.170,5.35000,1.22,1.11,0.179,47.50561,316.58254
EPIC 212499991 b,EPIC 212499991,1,1,0,Transit,2019,K2,,1.600,3.19000,0.76,0.91,-0.497,49.05579,317.34866
EPIC 212587672 b,EPIC 212587672,1,2,0,Transit,2019,K2,,1.260,2.13000,0.98,0.99,0.006,50.09504,322.41694
EPIC 212587672 c,EPIC 212587672,1,2,0,Transit,2016,K2,,2.320,5.99000,0.98,0.99,0.038,50.09504,322.41694
EPIC 212624936 b,EPIC 212624936,1,2,0,Transit,2021,K2,,1.200,1.87000,0.93,1.00,-0.124,49.04154,330.23401
EPIC 212624936 c,EPIC 212624936,1,2,0,Transit,2021,K2,,2.300,5.90000,0.93,1.00,-0.124,49.04154,330.23401
EPIC 212737443 b,EPIC 212737443,1,2,0,Transit,2019,K2,0.098000,2.586,7.20000,0.67,0.69,-0.751,53.83847,322.27085
EPIC 212737443 c,EPIC 212737443,1,2,0,Transit,2019,K2,0.280000,2.690,7.70000,0.67,0.69,-0.804,53.83847,322.27085
EPIC 220492298 b,EPIC 220492298,1,1,0,Transit,2021,K2,,0.990,0.93700,0.89,0.95,-0.009,-56.07199,129.88845
EPIC 220554210 c,K2-282,1,2,0,Transit,2019,K2,,1.600,3.19000,1.00,0.94,-0.215,-54.87207,123.91754
EPIC 220674823 b,EPIC 220674823,1,2,0,Transit,2016,K2,0.013260,1.725,8.21000,0.99,0.95,-0.119,-52.07644,123.28442
EPIC 220674823 c,EPIC 220674823,1,2,0,Transit,2016,K2,0.108300,2.836,8.90000,0.99,0.95,-0.119,-52.07644,123.28442
EPIC 228836835 b,EPIC 228836835,1,1,0,Transit,2021,K2,,1.100,1.37000,0.32,0.42,-1.612,57.47166,296.84098
EPIC 229004835 b,EPIC 229004835,1,1,0,Transit,2023,K2,0.123700,2.332,10.40000,1.00,0.97,0.030,60.81426,289.77763
EPIC 246851721 b,EPIC 246851721,2,1,0,Transit,2018,K2,0.072290,11.781,953.49000,1.59,1.32,0.526,-12.64088,186.97531
EPIC 248847494 b,EPIC 248847494,1,1,0,Transit,2018,K2,4.500000,12.442,4131.79000,2.70,0.90,0.548,55.10278,232.28858
EPIC 249893012 b,EPIC 249893012,1,3,0,Transit,2020,K2,0.047000,1.950,8.75000,1.71,1.05,0.356,34.30816,345.11043
EPIC 249893012 c,EPIC 249893012,1,3,0,Transit,2020,K2,0.130000,3.670,14.67000,1.71,1.05,0.356,34.30816,345.11043
EPIC 249893012 d,EPIC 249893012,1,3,0,Transit,2020,K2,0.220000,3.940,10.18000,1.71,1.05,0.356,34.30816,345.11043
FU Tau b,FU Tau,1,1,0,Imaging,2008,Spitzer Space Telescope,800.000000,12.200,5085.28000,,0.05,-0.699,-16.96130,172.11406
G 264-012 b,G 264-012,1,2,0,Radial Velocity,2021,Calar Alto Observatory,0.022790,1.390,2.50000,0.30,0.30,-1.972,10.16235,106.14833
G 264-012 c,G 264-012,1,2,0,Radial Velocity,2021,Calar Alto Observatory,0.052500,1.760,3.75000,0.30,0.30,-1.972,10.16235,106.14833
G 9-40 b,G 9-40,1,1,0,Transit,2019,K2,0.038500,2.025,11.70000,0.31,0.29,-1.971,37.03563,206.06509
GJ 1002 b,GJ 1002,1,2,0,Radial Velocity,2022,Multiple Observatories,0.045700,1.030,1.08000,0.14,0.12,-2.852,-67.73033,92.44529
