108,DS Tuc A,2,1,0.96,1.01,-0.140
109,EPIC 201170410,1,1,0.28,0.29,-1.900
110,EPIC 201238110,1,1,0.37,0.41,-1.508
111,EPIC 201427007,1,1,0.94,0.93,-0.049
112,EPIC 201497682,1,1,0.55,0.78,-0.766
113,EPIC 201595106,1,1,0.93,1.02,-0.026
114,K2-166,1,2,1.60,1.07,0.458
115,K2-16,1,3,0.54,0.67,-0.761
116,EPIC 201757695,1,1,0.66,0.73,-0.364
117,K2-50,1,2,0.63,0.61,-0.874
118,EPIC 201841433,1,1,0.63,0.80,-0.635
119,K2-168,1,2,0.83,0.88,-0.176
120,EPIC 206024342,1,3,0.82,0.93,-0.170
121,EPIC 206032309,1,1,0.37,0.22,-1.730
122,EPIC 206042996,1,2,0.50,0.57,-0.980
123,EPIC 206215704,1,1,0.25,0.41,-2.088
124,EPIC 206317286,1,2,0.67,0.71,-0.593
125,EPIC 211822797,1,1,0.58,0.62,-1.153
126,EPIC 211945201,1,1,1.39,1.17,0.373
127,EPIC 212297394,1,2,0.80,0.83,-0.505
128,EPIC 212424622,1,1,1.22,1.11,0.179
129,EPIC 212499991,1,1,0.76,0.91,-0.497
130,EPIC 212587672,1,2,0.98,0.99,0.006
131,EPIC 212624936,1,2,0.93,1.00,-0.124
132,EPIC 212737443,1,2,0.67,0.69,-0.751
133,EPIC 220492298,1,1,0.89,0.95,-0.009
134,K2-282,1,2,1.00,0.94,-0.215
135,EPIC 220674823,1,2,0.99,0.95,-0.119
136,EPIC 228836835,1,1,0.32,0.42,-1.612
137,EPIC 229004835,1,1,1.00,0.97,0.030
138,EPIC 246851721,2,1,1.59,1.32,0.526
139,EPIC 248847494,1,1,2.70,0.90,0.548
140,EPIC 249893012,1,3,1.71,1.05,0.356
141,FU Tau,1,1,,0.05,-0.699
142,G 264-012,1,2,0.30,0.30,-1.972
143,G 9-40,1,1,0.31,0.29,-1.971
144,GJ 1002,1,2,0.14,0.12,-2.852
145,GJ 1061,1,3,0.16,0.12,-2.770
146,GJ 1132,1,2,0.21,0.18,-2.359
147,GJ 1148,1,2,0.36,0.34,-1.869
148,GJ 1151,1,1,0.18,0.16,-2.480
149,GJ 1214,1,1,0.21,0.18,-2.337
150,GJ 1252,1,1,0.39,0.38,-1.708
151,GJ 1265,1,1,0.19,0.18,-2.439
152,GJ 143,1,2,0.70,0.73,-0.686
153,GJ 15 A,2,2,0.38,0.38,-1.655
154,GJ 160.2,1,1,0.66,0.69,-0.796
155,GJ 163,1,3,0.41,0.40,-1.708
156,GJ 179,1,1,0.38,0.36,-1.796
157,GJ 180,1,3,0.41,0.43,-1.886
158,GJ 2030,1,2,2.24,0.96,0.612
159,GJ 2056,1,1,0.71,0.62,-0.905
160,GJ 229,2,2,0.46,0.51,-1.222
161,GJ 251,1,1,0.36,0.36,-1.772
162,GJ 27.1,1,1,0.52,0.53,-1.585
163,GJ 273,1,2,0.29,0.29,-2.056
164,GJ 3021,2,1,0.90,0.90,-0.180
165,GJ 3082,1,1,0.47,0.47,-1.463
166,GJ 3090,1,1,0.52,0.52,-1.342
167,GJ 3138,1,3,0.50,0.68,-1.347
168,GJ 317,1,2,0.43,0.42,-1.687
169,GJ 3222,2,1,0.93,0.89,-0.252
170,GJ 328,1,2,0.65,0.63,-1.080
171,GJ 3293,1,4,0.40,0.42,-1.658
172,GJ 3323,1,2,0.12,0.16,-2.569
173,GJ 3341,1,1,0.44,0.47,-1.538
174,GJ 338 B,2,1,0.58,0.64,-1.101
175,GJ 3470,1,1,0.55,0.54,-1.538
176,GJ 3473,2,2,0.36,0.36,-1.824
177,GJ 3512,1,2,0.14,0.12,-2.804
178,GJ 357,1,3,0.34,0.34,-1.798
179,GJ 3634,1,1,0.43,0.45,-1.699
180,GJ 367,1,3,0.46,0.46,-1.539
181,GJ 3779,1,1,0.28,0.27,-2.062
182,GJ 3929,1,2,0.32,0.31,-1.963
183,GJ 393,1,1,0.43,0.43,-1.571
184,GJ 3942,1,1,0.61,0.63,-1.120
185,GJ 3998,1,2,0.49,0.50,-1.387
186,GJ 411,1,2,0.37,0.39,-1.710
187,GJ 414 A,2,2,0.68,0.65,-0.924
188,GJ 422,1,1,0.37,0.35,-1.959
189,GJ 4276,1,1,0.41,0.41,-1.706
190,GJ 433,1,3,0.50,0.48,-1.699
191,GJ 436,1,1,0.46,0.47,-1.585
192,GJ 463,1,1,0.49,0.49,-1.523
193,GJ 480,1,1,0.46,0.45,-1.612
194,GJ 486,1,1,0.33,0.32,-1.917
195,GJ 504,1,1,1.26,1.22,0.332
196,GJ 514,1,1,0.50,0.51,-1.367
197,GJ 536,1,1,0.50,0.52,-1.377
198,GJ 581,1,3,0.33,0.31,-1.885
199,GJ 625,1,1,0.31,0.30,-1.894
200,GJ 649,1,1,0.50,0.53,-1.361
201,GJ 667 C,3,5,,0.33,-1.863
202,GJ 674,1,1,0.36,0.35,-1.796
203,GJ 676 A,2,4,0.69,0.63,-1.043
204,GJ 680,2,1,0.46,0.46,-1.514
205,GJ 682,1,2,0.30,0.27,-2.699
206,GJ 685,1,1,0.54,0.55,-1.253
207,GJ 687,1,2,0.42,0.40,-1.672
208,GJ 720 A,2,1,0.56,0.57,-1.217
209,GJ 740,1,1,0.56,0.58,-1.206
210,GJ 832,1,1,0.44,0.45,-1.585
211,GJ 849,1,2,0.47,0.50,-1.590
212,GJ 86,2,1,0.77,0.93,-0.390
213,GJ 876,1,4,0.30,0.32,-1.907
214,GJ 887,1,2,0.47,0.49,-1.434
215,GJ 896 A,2,1,0.39,0.44,-1.755
216,GJ 9066,1,1,0.16,0.15,-2.595
217,GJ 9404,1,1,0.63,0.62,-1.000
218,GJ 96,1,1,0.58,0.60,-1.052
219,GJ 9689,1,1,0.57,0.59,-1.200
220,GJ 9714,1,1,0.66,0.67,-0.884
221,GJ 9827,1,3,0.60,0.61,-0.942
222,GPX-1,1,1,1.56,1.68,0.727
223,GQ Lup,1,1,1.94,0.70,-0.072
224,GSC 06214-00210,1,1,0.90,0.90,-0.420
225,GU Psc,1,1,0.45,0.33,-1.602
226,Gaia-1,1,1,0.95,0.95,-0.159
227,Gaia-2,1,1,1.06,1.00,0.057
228,Gl 378,1,1,0.56,0.56,-1.222
229,Gl 49,2,1,0.51,0.52,-1.306
230,Gl 686,1,1,0.43,0.43,-1.530
231,HAT-P-1,2,1,1.17,1.15,0.225
232,HAT-P-11,1,2,0.68,0.81,-0.567
233,HAT-P-12,1,1,0.70,0.73,-0.678
234,HAT-P-13,1,2,1.76,1.32,0.346
235,HAT-P-14,2,1,1.82,2.65,0.644
236,HAT-P-15,1,1,1.07,1.00,0.000
237,HAT-P-16,3,1,1.24,1.22,0.294
238,HAT-P-17,1,2,0.87,0.99,-0.289
239,HAT-P-18,1,1,0.75,0.77,-0.569
240,HAT-P-19,1,1,0.82,0.84,-0.432
241,HAT-P-2,1,1,1.39,1.33,0.530
242,HAT-P-20,1,1,0.69,0.76,-0.721
243,HAT-P-21,1,1,1.21,1.24,0.025
244,HAT-P-22,2,1,1.11,1.13,-0.114
245,HAT-P-23,1,1,1.20,1.13,0.199
246,HAT-P-24,2,1,1.38,1.37,0.408
247,HAT-P-25,1,1,0.92,1.01,-0.152
248,HAT-P-26,1,1,0.87,1.12,-0.359
249,HAT-P-27,2,1,0.86,0.92,-0.269
250,HAT-P-28,1,1,1.10,1.03,0.053
251,HAT-P-29,2,1,1.30,1.45,0.272
252,HAT-P-3,2,1,0.87,1.06,-0.360
253,HAT-P-30,2,1,1.31,1.55,0.312
254,HAT-P-31,1,1,1.39,1.31,0.433
255,HAT-P-32,2,1,1.37,1.13,0.338
256,HAT-P-33,2,1,1.79,1.82,0.618
257,HAT-P-34,1,1,1.53,1.39,0.600
258,HAT-P-35,3,1,1.44,1.24,0.383
259,HAT-P-36,1,1,1.04,1.03,0.022
260,HAT-P-37,1,1,0.88,0.93,-0.208
261,HAT-P-38,1,1,0.92,0.89,-0.208
262,HAT-P-39,2,1,1.62,1.40,0.607
263,HAT-P-4,2,1,1.62,0.56,0.431
264,HAT-P-40,1,1,1.94,1.03,0.778
265,HAT-P-41,2,1,2.05,2.56,0.628
266,HAT-P-42,1,1,1.53,1.18,0.356
267,HAT-P-43,1,1,1.08,1.03,0.060
268,HAT-P-44,1,2,0.95,0.94,-0.194
269,HAT-P-45,1,1,1.32,1.26,0.400
270,HAT-P-46,1,1,1.40,1.28,0.391
271,HAT-P-49,1,1,2.06,2.22,0.814
272,HAT-P-5,1,1,1.12,1.04,0.187
273,HAT-P-50,1,1,1.70,1.27,0.603
274,HAT-P-51,1,1,1.04,0.98,-0.066
275,HAT-P-52,1,1,0.89,0.89,-0.305
276,HAT-P-53,1,1,1.21,1.09,0.217
277,HAT-P-54,1,1,0.62,0.65,-0.902
278,HAT-P-55,1,1,1.01,1.01,0.064
279,HAT-P-56,1,1,1.47,1.42,0.553
280,HAT-P-57,3,1,1.85,2.77,0.806
281,HAT-P-58,1,1,1.53,1.03,0.456
282,HAT-P-59,1,1,1.10,1.01,0.054
283,HAT-P-6,1,1,1.62,1.79,0.553
