AU Mic b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.064500,4.070,20.12000,-36.80401,12.65304,37,48
AU Mic c,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.110100,3.240,9.60000,-36.80401,12.65304,37,49
BD+03 2562 b,Radial Velocity,2017,Multiple Observatories,1.300000,12.700,2034.11200,61.57342,269.32522,38,50
BD+14 4559 b,Radial Velocity,2009,McDonald Observatory,0.780000,13.800,330.54320,-22.63172,64.41837,39,51
BD+15 2375 b,Radial Velocity,2016,Roque de los Muchachos Observatory,0.576000,13.800,337.21763,70.27244,249.00212,40,52
BD+15 2940 b,Radial Velocity,2013,McDonald Observatory,0.539000,13.700,352.78000,44.78011,28.10432,41,53
BD+20 2457 b,Radial Velocity,2009,McDonald Observatory,1.450000,12.100,6807.63000,53.95226,216.04472,42,54
BD+20 2457 c,Radial Velocity,2009,McDonald Observatory,2.010000,12.400,3963.17000,53.95226,216.04472,42,55
BD+20 274 b,Radial Velocity,2012,McDonald Observatory,1.300000,13.000,1334.88600,-40.23345,138.97420,43,56
BD+20 594 b,Transit,2016,K2,0.241000,2.578,22.24810,-28.05348,166.79660,44,57
BD+45 564 b,Radial Velocity,2021,Haute-Provence Observatory,0.830000,13.600,432.24663,-14.70463,137.23205,45,58
BD+48 738 b,Radial Velocity,2011,McDonald Observatory,1.000000,13.900,289.22530,-9.37870,140.80848,46,59
BD+48 740 b,Radial Velocity,2018,Multiple Observatories,1.700000,13.500,540.31100,-9.96534,141.10904,47,60
BD+49 828 b,Radial Velocity,2015,McDonald Observatory,4.200000,13.500,508.50000,-7.80173,143.61792,48,61
BD+55 362 b,Radial Velocity,2021,Haute-Provence Observatory,0.780000,14.000,228.83645,-5.64657,129.03163,49,62
BD+60 1417 b,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,1662.000000,14.684,4767.42610,57.08610,124.74559,50,63
BD+63 1405 b,Radial Velocity,2021,Haute-Provence Observatory,2.060000,12.400,3305.41543,29.15130,93.08126,51,64
BD-00 4475 b,Radial Velocity,2021,Haute-Provence Observatory,1.480000,12.000,7961.60160,-53.35536,77.53408,52,65
BD-06 1339 b,Radial Velocity,2013,La Silla Observatory,0.042800,2.850,8.50000,-15.71602,211.65797,53,66
BD-06 1339 c,Radial Velocity,2013,La Silla Observatory,0.435000,8.380,53.00000,-15.71602,211.65797,53,67
BD-08 2823 b,Radial Velocity,2009,La Silla Observatory,0.060000,3.610,12.71320,34.75486,248.49513,54,68
BD-08 2823 c,Radial Velocity,2009,La Silla Observatory,0.680000,12.500,104.00000,34.75486,248.49513,54,69
BD-10 3166 b,Radial Velocity,2000,W. M. Keck Observatory,0.040000,14.100,187.51970,43.23793,263.28467,55,70
BD-11 4672 b,Radial Velocity,2014,La Silla Observatory,2.360000,14.100,206.58950,-1.35959,20.54287,56,71
BD-11 4672 c,Radial Velocity,2020,Roque de los Muchachos Observatory,0.300000,4.040,15.37000,-1.35959,20.54287,56,72
BD-13 2130 b,Radial Velocity,2007,La Silla Observatory,1.660000,12.500,3108.37740,3.53127,230.52055,57,73
BD-17 63 b,Radial Velocity,2008,La Silla Observatory,1.340000,12.800,1620.90000,-77.87825,95.83026,58,74
BD-210397 b,Radial Velocity,2023,La Silla Observatory,2.630000,14.000,214.00000,-70.45622,199.69949,59,75
BD-210397 c,Radial Velocity,2023,La Silla Observatory,5.900000,12.900,1525.57635,-70.45622,199.69949,59,76
CD Cet b,Radial Velocity,2020,Calar Alto Observatory,0.018500,1.820,3.95000,-43.16780,175.42689,60,77
CFBDSIR J145829+101343 b,Imaging,2011,W. M. Keck Observatory,2.600000,12.400,3337.10000,55.65506,9.59427,61,78
CFHTWIR-Oph 98 b,Imaging,2021,Hubble Space Telescope,200.000000,20.849,2479.06157,16.96444,353.60499,62,79
CHXR 73 b,Imaging,2006,Hubble Space Telescope,210.000000,12.300,3994.48600,-15.92181,297.27760,63,80
CI Tau b,Radial Velocity,2019,Multiple Observatories,,12.400,3686.82800,-16.63607,175.46435,64,81
COCONUTS-2 b,Imaging,2021,NASA Infrared Telescope Facility (IRTF),7506.000000,12.442,2002.31896,-23.12313,288.91588,65,82
